Nom de l'offre touristique;Type d'offre;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Code Embed pour intégrer une vidéo;Type de plateforme/url;Widget tripadvisor;Secteur d'activité;Labels;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Langues parlées à l'accueil;Appellation pour les vins;Dégustations gratuites: oui / non;Salle équipée pour dégustation: oui / non;Vente à la propriété: oui / non;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langue(s) parlée(s) pendant les visites;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif;Modes de paiement acceptés;localisation;departement
Les Merveilles de Sophie;Pain / Pâtisserie;;;;;44680;;SAINTE-PAZANNE;;44186;47.102143;-1.811466;;;07 85 90 39 07;;biscuitslesmerveillesdesophie@gmail.com;http://biscuiterie-les-merveilles-de-sophie.sumupstore.com;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2024||31/12/2024||||||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||||||||||||||||,01/01/2025||31/12/2025||||||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||08:00||12:00||14:00||18:00||||||||||||||||;;;;;;Cartes bancaires,Espèces;47.102143, -1.811466;Loire-Atlantique
Le Crapaud à Ressorts;;;;Kerbourg;;44410;;SAINT-LYPHARD;;44175;47.397641;-2.308143;;;06 95 53 49 30;;lecrapaudaressorts@gmail.com;https://lecrapaudaressorts.jimdofree.com/;;;;;Artisanat / Art;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.397641, -2.308143;Loire-Atlantique
La Cabane Bleue;Produits du terroir (boutique);;;Kervalet;;44740;;BATZ-SUR-MER;;44010;47.277038;-2.480392;;;06 86 26 91 31;;erwanrivalantpro@outlook.fr;;;;;;Activités de la mer;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;;47.277038, -2.480392;Loire-Atlantique
LES CONFITURES DE VERO;Confiture;11 LA SORINIERE;;;;44310;;SAINT-COLOMBAN;;44155;47.008331;-1.584298;;;06 61 87 40 06;;lesconfituresdevero@gmail.com;https://www.facebook.com/people/Les-Confitures-de-V%C3%A9ro/100023394291288/;;;;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;Véro RIONDEL ||06 61 87 40 06||lesconfituresdevero@gmail.com;;;;;;47.008331, -1.584298;Loire-Atlantique
GAEC PROUTEAU;Vins;Bonnezeaux;;;;49380;;BELLEVIGNE-EN-LAYON;;49345;47.266172;-0.500041;;;02 41 54 31 45;;ac.prouteau@free.fr;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.266172, -0.500041;Maine-et-Loire
DOMAINE DE LA MAISON ROUGE;Vins;Les Loges;;;;49540;;TERRANJOU;;49086;47.269065;-0.455232;;;02 41 59 63 81;;;;;;;;Viticulture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.269065, -0.455232;Maine-et-Loire
LES SAVONS DE MARGOT;Cosmétique;;;;;44390;;CASSON;;44027;47.39199;-1.57258;;;;;Lessavonsdemargot@laposte.net;;;;Facebook||https://www.facebook.com/profile.php?id=61564196724486;;Artisanat / Art;;;;;;;;;;;;oui;;;;;;;;;;;;oui;;;;;;;;47.39199, -1.57258;Loire-Atlantique
Le fil d'Aure;Textile / Habillement / Chaussure;;;;;44150;;VAIR-SUR-LOIRE;;44163;47.3646194;-1.178243;;06 52 56 68 00;;;contact@lefildaure.fr;http://www.lefildaure.fr;;;Facebook||https://www.facebook.com/lefildauriane/,Instagram||https://www.instagram.com/le_fil_daure/,Tiktok||https://www.tiktok.com/@le.fil.daure;;Artisanat / Art;;;;;;;;Français;;non;;;;;;;;;;;Français;;"Partenariat||DEGPDL044V50S5WK;Partenariat||DEGPDL044V514KNZ";oui;;;;;oui;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.3646194, -1.178243;Loire-Atlantique
ANTOINE MERCIER GUIDE NATURALISTE;;;;;;44720;;SAINT-JOACHIM;;44168;47.38336;-2.20114;;06 10 25 43 95;;;antoine-mercier@hotmail.fr;https://www.antoinemercier-guidenature.fr/;;;;;Loisirs et activités;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. enfant||||||Visite 1 h : 4 euros,Visite 1h 30 : 6 euros,Visite 2 h : 8 euros,Visite 3h et +	: 10 euros,Tarif indiv. adulte||||||Visite 1 h : 9 euros,Visite 1h 30 : 10 euros,Visite 2 h : 12 euros,Visite 3h et + : 15 euros,Formule famille||||||Visite 1 h : 22 euros,Visite 1h 30 : 25 euros,Visite 2 h : 35 euros,Visite 3h et + : 45 euros;;47.38336, -2.20114;Loire-Atlantique
PRODUCTEURS ALIMENTAIRES DE BAUGEOIS-VALLÉE;Bétail,Bières,Biscuit,Brioche et viennoiserie,Confiserie / chocolat,Confiture,Elevage,Epices / Condiment,Escargot,Foie gras,Fromage et produit laitier,Fruits / légumes,Glace,Huile,Pain / Pâtisserie,Produits apicoles,Produits cidricoles / Jus de fruit,Salaisons,Viande,Vins,Volailles / Oeufs;;;;;49150;;BAUGE-EN-ANJOU;;49018;47.5414;-0.10377;;;;;;https://www.baugeoisvallee.fr/actualites-109/guide-des-producteurs-alimentaires-baugeois-vallee-973.html?cHash=cdecbe774b4a62e41aacb6156254dac9;;;;;"Agriculture / horticulture / Pêche;Agro-alimentaire;Viticulture";;;;;;;;Français;;;;;;;;;;;;;;;;oui;01/01/2024||31/12/2026||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;;47.5414, -0.10377;Maine-et-Loire
